now_ivt_4	now_ivt_3	wait_WT	wait_ivt_3	wait_ivt_2	output_choice	
0	20	10	0	20	2	
0	20	5	0	20	3	
20	0	10	20	0	2	
20	0	5	20	0	3	
20	0	10	0	20	2	
20	0	5	0	20	3	
0	15	10	0	15	2	
0	15	5	0	15	2	
15	0	10	15	0	2	
15	0	5	15	0	2	
15	0	10	0	15	2	
15	0	5	0	15	2	
0	15	10	0	15	2	
0	15	5	0	15	2	
15	0	10	15	0	2	
15	0	5	15	0	3	
15	0	10	0	15	2	
15	0	5	0	15	3	
0	30	10	0	30	2	
0	30	5	0	30	2	
30	0	10	30	0	2	
30	0	5	30	0	3	
30	0	10	0	30	2	
30	0	5	0	30	3	
0	20	10	0	20	3	
0	20	5	0	20	3	
20	0	10	20	0	3	
20	0	5	20	0	3	
20	0	10	0	20	3	
20	0	5	0	20	3	
0	25	10	0	25	2	
0	25	5	0	25	2	
25	0	10	25	0	3	
25	0	5	25	0	3	
25	0	10	0	25	3	
25	0	5	0	25	3	
0	10	10	0	10	3	
0	10	5	0	10	3	
10	0	10	10	0	3	
10	0	5	10	0	3	
10	0	10	0	10	3	
10	0	5	0	10	3	
0	15	10	0	15	2	
0	15	5	0	15	2	
15	0	10	15	0	2	
15	0	5	15	0	3	
15	0	10	0	15	2	
15	0	5	0	15	3	
0	30	10	0	30	2	
0	30	5	0	30	2	
30	0	10	30	0	3	
30	0	5	30	0	3	
30	0	10	0	30	3	
30	0	5	0	30	3	
0	25	10	0	25	2	
0	25	5	0	25	3	
25	0	10	25	0	3	
25	0	5	25	0	3	
25	0	10	0	25	3	
25	0	5	0	25	3	
0	17	10	0	17	2	
0	17	5	0	17	2	
17	0	10	17	0	2	
17	0	5	17	0	3	
17	0	10	0	17	2	
17	0	5	0	17	3	
0	5	10	0	5	2	
0	5	5	0	5	2	
5	0	10	5	0	3	
5	0	5	5	0	3	
5	0	10	0	5	3	
5	0	5	0	5	3	
0	45	10	0	45	2	
0	45	5	0	45	2	
45	0	10	45	0	2	
45	0	5	45	0	3	
45	0	10	0	45	2	
45	0	5	0	45	3	
0	20	10	0	20	2	
0	20	5	0	20	2	
20	0	10	20	0	2	
20	0	5	20	0	2	
20	0	10	0	20	2	
20	0	5	0	20	2	
0	15	10	0	15	2	
0	15	5	0	15	3	
15	0	10	15	0	3	
15	0	5	15	0	3	
15	0	10	0	15	3	
15	0	5	0	15	3	
0	15	10	0	15	2	
0	15	5	0	15	3	
15	0	10	15	0	2	
15	0	5	15	0	3	
15	0	10	0	15	2	
15	0	5	0	15	3	
0	25	10	0	25	2	
0	25	5	0	25	2	
25	0	10	25	0	2	
25	0	5	25	0	2	
25	0	10	0	25	2	
25	0	5	0	25	2	
0	15	10	0	15	2	
0	15	5	0	15	2	
15	0	10	15	0	3	
15	0	5	15	0	3	
15	0	10	0	15	3	
15	0	5	0	15	3	
0	17	10	0	17	2	
0	17	5	0	17	2	
17	0	10	17	0	2	
17	0	5	17	0	3	
17	0	10	0	17	2	
17	0	5	0	17	3	
0	20	10	0	20	2	
0	20	5	0	20	2	
20	0	10	20	0	2	
20	0	5	20	0	3	
20	0	10	0	20	2	
20	0	5	0	20	3	
0	17	10	0	17	3	
0	17	5	0	17	3	
17	0	10	17	0	3	
17	0	5	17	0	3	
17	0	10	0	17	3	
17	0	5	0	17	3	
0	2	10	0	2	2	
0	2	5	0	2	2	
2	0	10	2	0	2	
2	0	5	2	0	2	
2	0	10	0	2	2	
2	0	5	0	2	2	
0	20	10	0	20	2	
0	20	5	0	20	2	
20	0	10	20	0	2	
20	0	5	20	0	3	
20	0	10	0	20	2	
20	0	5	0	20	3	
0	40	10	0	40	2	
0	40	5	0	40	2	
40	0	10	40	0	2	
40	0	5	40	0	2	
40	0	10	0	40	2	
40	0	5	0	40	2	
0	30	10	0	30	2	
0	30	5	0	30	2	
30	0	10	30	0	2	
30	0	5	30	0	2	
30	0	10	0	30	2	
30	0	5	0	30	3	
0	6	10	0	6	2	
0	6	5	0	6	2	
6	0	10	6	0	2	
6	0	5	6	0	2	
6	0	10	0	6	2	
6	0	5	0	6	2	
0	20	10	0	20	2	
0	20	5	0	20	2	
20	0	10	20	0	3	
20	0	5	20	0	3	
20	0	10	0	20	3	
20	0	5	0	20	3	
0	40	10	0	40	2	
0	40	5	0	40	2	
40	0	10	40	0	2	
40	0	5	40	0	2	
40	0	10	0	40	2	
40	0	5	0	40	2	
0	35	10	0	35	2	
0	35	5	0	35	2	
35	0	10	35	0	2	
35	0	5	35	0	3	
35	0	10	0	35	2	
35	0	5	0	35	3	
0	20	10	0	20	3	
